Wavelength,NC1,NC2,NC3,SF1,SF2,SF3,SN1,SN2,SN3
Group,NC,NC,NC,SF,SF,SF,SN,SN,SN
673.609827,71.758488,85.236016,79.093775,94.329738,96.702166,95.777301,76.323708,78.894089,88.480909
675.046095,71.827285,85.277432,79.19828,94.338638,96.709557,95.787241,76.40385,78.971046,88.505081
676.482364,71.991128,85.392977,79.389388,94.369589,96.720024,95.797741,76.471454,79.034741,88.530897
677.918632,72.147485,85.483623,79.549543,94.383527,96.726524,95.808288,76.555063,79.110972,88.555556
679.3549,72.335824,85.603991,79.73744,94.399582,96.733095,95.817884,76.630067,79.178289,88.57912
680.791168,72.632859,85.790731,80.003948,94.418192,96.74053,95.827453,76.718985,79.25914,88.605487
682.227437,73.113869,86.069088,80.384528,94.439718,96.747904,95.836494,76.799321,79.331157,88.630593
683.663705,73.787094,86.45779,80.90003,94.465022,96.755426,95.845599,76.893327,79.415134,88.659466
685.099973,74.598606,86.930196,81.51722,94.493529,96.763589,95.853591,76.979667,79.489702,88.691906
686.536242,75.593411,87.496478,82.254744,94.525469,96.776086,95.867796,77.072528,79.574202,88.72719
687.97251,76.684956,88.1109,83.064241,94.561454,96.786156,95.881037,77.154656,79.649919,88.76182
689.408778,77.828592,88.756289,83.908078,94.600869,96.796425,95.893848,77.251335,79.737996,88.800013
690.845046,78.951304,89.412273,84.741415,94.645279,96.805623,95.90396,77.338033,79.819017,88.841856
692.281315,80.024833,90.056623,85.533083,94.686589,96.819223,95.919988,77.438315,79.913775,88.886367
693.717583,81.004575,90.656831,86.253542,94.730116,96.830761,95.936456,77.519671,79.9943,88.932064
695.153851,81.84982,91.191727,86.878014,94.778615,96.842866,95.953515,77.614364,80.085232,88.986429
696.59012,82.538436,91.629429,87.380753,94.829407,96.855922,95.970701,77.697436,80.169621,89.048323
698.026388,83.065715,91.943462,87.750501,94.8729,96.865937,95.989176,77.792081,80.263139,89.107316
699.462656,83.41763,92.127753,87.992003,94.918321,96.877959,96.007639,77.870992,80.348724,89.166129
700.898924,83.616701,92.188181,88.121912,94.974432,96.890486,96.025111,77.966831,80.449025,89.23002
702.335193,83.669071,92.13785,88.135325,95.029964,96.903166,96.042791,78.051765,80.541371,89.289584
703.771461,83.622872,91.989488,88.07106,95.082557,96.920628,96.0611,78.163106,80.645783,89.338577
705.207729,83.48303,91.756171,87.953462,95.140042,96.931268,96.079716,78.277524,80.742374,89.389064
706.643998,83.316618,91.477356,87.813781,95.199413,96.941306,96.101329,78.4074,80.850838,89.441389
708.080266,83.072564,91.141696,87.630494,95.251667,96.953861,96.120204,78.526202,80.953689,89.488763
709.516534,82.79027,90.795086,87.418827,95.302938,96.967563,96.138259,78.649165,81.068168,89.538016
710.952802,82.494983,90.472755,87.192657,95.352846,96.982588,96.156665,78.758922,81.176124,89.589357
712.389071,82.214467,90.191423,86.970037,95.394932,97.001552,96.181005,78.874669,81.292556,89.643103
713.825339,81.950924,89.945485,86.764944,95.436951,97.017258,96.203155,78.976806,81.395999,89.705375
715.261607,81.698017,89.725512,86.558687,95.478253,97.036131,96.226001,79.090531,81.511089,89.775859
716.697876,81.45826,89.526078,86.35688,95.516296,97.055824,96.249649,79.185404,81.620673,89.852097
718.134144,81.230856,89.341835,86.165554,95.552969,97.076914,96.273855,79.280271,81.736482,89.92607
719.570412,81.009952,89.174882,85.980987,95.588554,97.098828,96.298515,79.360911,81.844356,90.002039
721.00668,80.799924,89.026909,85.800385,95.633017,97.121809,96.322648,79.457864,81.963576,90.083749
722.442949,80.589375,88.893244,85.610465,95.671694,97.145649,96.348433,79.549596,82.074406,90.15752
723.879217,80.388702,88.762896,85.431733,95.710951,97.16996,96.375638,79.672485,82.194807,90.229063
725.315485,80.1789,88.627448,85.254281,95.756783,97.185704,96.40222,79.800346,82.306794,90.311573
726.751754,79.969664,88.493346,85.074754,95.800421,97.208301,96.433201,79.947686,82.428069,90.403523
728.188022,79.745167,88.350448,84.895847,95.839001,97.230099,96.461604,80.09368,82.545392,90.490859
729.62429,79.533607,88.218089,84.724763,95.881902,97.248605,96.489126,80.254166,82.671853,90.584845
731.060558,79.327354,88.097821,84.557772,95.926053,97.267592,96.51893,80.420182,82.793481,90.678991
732.496827,79.120351,87.981858,84.397848,95.97137,97.287547,96.547046,80.603201,82.923083,90.776491
733.933095,78.906436,87.857314,84.235468,96.017731,97.307006,96.576377,80.789993,83.046814,90.876287
735.369363,78.691015,87.720575,84.057014,96.06444,97.322827,96.612838,80.98729,83.182621,90.972275
736.805632,78.462381,87.572458,83.874862,96.113679,97.337904,96.648085,81.17145,83.31234,91.068829
738.2419,78.232685,87.417521,83.691062,96.161016,97.360703,96.679721,81.360841,83.448625,91.16459
739.678168,77.999599,87.262775,83.504805,96.203142,97.383012,96.711216,81.539431,83.579339,91.255613
741.114436,77.762298,87.10739,83.31784,96.248942,97.400079,96.740935,81.71796,83.715265,91.344764
742.550705,77.513425,86.94691,83.119736,96.298098,97.417913,96.77032,81.885271,83.843041,91.427939
743.986973,77.264602,86.784956,82.914359,96.34081,97.439793,96.79956,82.057995,83.977343,91.510418
745.423241,77.001491,86.616266,82.696355,96.377007,97.463876,96.826666,82.223075,84.104707,91.590357
746.85951,76.742616,86.444283,82.472677,96.411292,97.487647,96.855391,82.394061,84.240103,91.672028
748.295778,76.477267,86.267606,82.246086,96.445404,97.506085,96.876307,82.551644,84.368004,91.75022
749.732046,76.215057,86.095648,82.024208,96.476687,97.524793,96.895244,82.711791,84.503766,91.825819
751.168314,75.942389,85.92456,81.803956,96.503813,97.541834,96.918469,82.862032,84.632758,91.890543
752.604583,75.660585,85.750349,81.586515,96.532337,97.554236,96.936373,83.015253,84.764801,91.94979
754.040851,75.369002,85.567011,81.358984,96.559951,97.564389,96.955026,83.161577,84.890745,92.002264
755.477119,75.078166,85.383441,81.127219,96.58414,97.572792,96.978911,83.307377,85.023458,92.045658
756.913388,74.776406,85.193485,80.892435,96.608674,97.584669,96.996471,83.438984,85.149776,92.083813
758.349656,74.481706,84.998046,80.661321,96.627943,97.59644,97.011437,83.571464,85.281224,92.120686
759.785924,74.184359,84.80366,80.427778,96.646268,97.599277,97.026692,83.689437,85.400133,92.153044
761.222192,73.883934,84.607165,80.194052,96.671928,97.60201,97.039906,83.810165,85.522643,92.187358
762.658461,73.573982,84.399632,79.955472,96.693109,97.608986,97.054228,83.923365,85.635653,92.222641
764.094729,73.266702,84.195482,79.714262,96.70745,97.617013,97.067704,84.039778,85.75212,92.264051
765.530997,72.956855,83.990934,79.466483,96.724287,97.628662,97.082419,84.15125,85.866833,92.312732
766.967266,72.65325,83.783848,79.221823,96.745621,97.643472,97.098618,84.268751,85.984748,92.366577
768.403534,72.341582,83.579216,78.975656,96.772244,97.661531,97.109892,84.385989,86.093891,92.422205
769.839802,72.034205,83.384233,78.734729,96.79949,97.679075,97.125582,84.518169,86.210847,92.475802
771.276071,71.720265,83.190636,78.495651,96.827816,97.690315,97.145601,84.648068,86.319292,92.521868
772.712339,71.404966,82.998957,78.258865,96.862257,97.704601,97.160606,84.786505,86.435116,92.571566
