"","NC1","NC2","NC3","SF1","SF2","SF3","SN1","SN2","SN3","10","11","12","13"
"Group","NC","NC","NC","SF","SF","SF","SN","SN","SN","AOV p-value","AOV F-value","KWT p-value","KWT Chi-squared"
"X583.124925","59.301582","76.313762","67.936476","93.144872","96.252987","95.510908","76.237261","78.420407","88.051195","0.00507476077822064","14.4575272991979","0.0389902195744872","6.48888888888889"
"X584.561193","59.192229","76.330535","67.892162","93.197325","96.255826","95.514904","76.161269","78.365041","88.045267","0.00517155822636837","14.3479215074617","0.0389902195744872","6.48888888888889"
"X585.997461","59.10649","76.357739","67.878634","93.235742","96.265006","95.511608","76.108015","78.315617","88.027095","0.00526220460747426","14.2477326291531","0.0389902195744872","6.48888888888889"
"X587.43373","59.036189","76.393515","67.874984","93.26739","96.274672","95.507941","76.036686","78.240799","87.997309","0.00536839222312041","14.133253547624","0.0389902195744872","6.48888888888889"
"X588.869998","59.006745","76.444372","67.881503","93.289619","96.277917","95.508968","75.986596","78.196194","87.965728","0.00545568357894647","14.041384027877","0.0389902195744872","6.48888888888889"
"X590.306266","58.959191","76.50396","67.885663","93.297579","96.278113","95.505824","75.910342","78.125654","87.935282","0.00559863098723642","13.8950950808129","0.0389902195744872","6.48888888888889"
"X591.742535","58.95807","76.579951","67.916667","93.291856","96.272862","95.497774","75.85387","78.078794","87.917924","0.00574776709809595","13.7476882215331","0.0389902195744872","6.48888888888889"
"X593.178803","58.969154","76.661355","67.964843","93.283955","96.267475","95.491344","75.779839","78.027286","87.903239","0.00591933960214135","13.5842881804884","0.0389902195744872","6.48888888888889"
"X594.615071","59.003006","76.762027","68.037473","93.273115","96.265421","95.486445","75.717077","77.991376","87.880067","0.00609696671754797","13.4216445170339","0.0389902195744872","6.48888888888889"
"X596.051339","59.049993","76.877427","68.125635","93.262301","96.261906","95.479554","75.637023","77.934461","87.848229","0.00630608489183195","13.2380790173341","0.0389902195744872","6.48888888888889"
"X597.487608","59.138126","77.01023","68.239726","93.242265","96.259784","95.469474","75.571579","77.895963","87.82384","0.00652582701632629","13.0537342276091","0.0389902195744872","6.48888888888889"
"X598.923876","59.235363","77.162139","68.367589","93.237819","96.257026","95.457382","75.485471","77.842267","87.79444","0.00678399821728114","12.8474483993097","0.0389902195744872","6.48888888888889"
"X600.360144","59.379135","77.338852","68.53588","93.25602","96.253439","95.449106","75.440427","77.8222","87.764339","0.00701685874657817","12.6701688712131","0.0389902195744872","6.48888888888889"
"X601.796413","59.533061","77.518459","68.714049","93.275051","96.254425","95.443233","75.385464","77.787291","87.737951","0.00727033630843562","12.4858989534574","0.0389902195744872","6.48888888888889"
"X603.232681","59.735468","77.713869","68.917247","93.29111","96.25615","95.439866","75.346636","77.770077","87.724499","0.00752784899237846","12.3072657422189","0.0389902195744872","6.48888888888889"
"X604.668949","59.947861","77.919749","69.142328","93.306355","96.255698","95.4346","75.297349","77.732568","87.709485","0.00782881219203682","12.108544560314","0.0509058323363985","5.95555555555556"
"X606.105217","60.206279","78.144942","69.396219","93.322637","96.261604","95.428315","75.272772","77.712121","87.702268","0.00813244639312483","11.9181230477942","0.0509058323363985","5.95555555555556"
"X607.541486","60.479749","78.372451","69.655794","93.342452","96.270565","95.427085","75.237288","77.683741","87.695133","0.00844555793695432","11.7314379064789","0.0509058323363985","5.95555555555556"
"X608.977754","60.769833","78.607083","69.923758","93.361529","96.277505","95.429934","75.221856","77.676178","87.687156","0.00874838762233563","11.5594593730896","0.0509058323363985","5.95555555555556"
"X610.414022","61.03772","78.821766","70.179506","93.383826","96.281812","95.430548","75.195445","77.651348","87.681562","0.00905459290946937","11.3934513732883","0.0509058323363985","5.95555555555556"
"X611.850291","61.343433","79.032705","70.447877","93.407763","96.282457","95.428837","75.186194","77.649933","87.685214","0.00932326489875121","11.2538411133041","0.0509058323363985","5.95555555555556"
"X613.286559","61.649466","79.255693","70.728119","93.434211","96.289278","95.432109","75.174481","77.638526","87.688773","0.00963127201844586","11.1002465011944","0.0509058323363985","5.95555555555556"
"X614.722827","61.988896","79.498694","71.030607","93.452663","96.297693","95.435784","75.180362","77.6391","87.688833","0.00995341606318409","10.9464562434534","0.0509058323363985","5.95555555555556"
"X616.159095","62.329331","79.730963","71.329869","93.476831","96.305488","95.440418","75.172902","77.625021","87.691146","0.0102738084348512","10.7999474784523","0.0509058323363985","5.95555555555556"
"X617.595364","62.684701","79.953087","71.626012","93.501427","96.313976","95.445978","75.188754","77.632088","87.699456","0.0105401299019974","10.682725056964","0.0509058323363985","5.95555555555556"
"X619.031632","63.030002","80.161959","71.906844","93.526078","96.322495","95.450597","75.187743","77.624796","87.704866","0.0108004855123895","10.5718847120042","0.0509058323363985","5.95555555555556"
"X620.4679","63.377659","80.361479","72.18731","93.552974","96.331366","95.457391","75.20792","77.637669","87.717632","0.0110216178325855","10.4805042819435","0.0509058323363985","5.95555555555556"
"X621.904169","63.699385","80.542931","72.452952","93.575893","96.33735","95.460527","75.21022","77.635427","87.723932","0.0112444738065675","10.3908519663326","0.0509058323363985","5.95555555555556"
"X623.340437","64.017653","80.71565","72.714075","93.598577","96.34385","95.464286","75.229053","77.652603","87.733421","0.0114317005250228","10.3173447254102","0.0509058323363985","5.95555555555556"
"X624.776705","64.302045","80.872297","72.962304","93.620541","96.350485","95.4679","75.231975","77.654325","87.740724","0.0116337593167424","10.2397940582784","0.0509058323363985","5.95555555555556"
"X626.212973","64.578636","81.010131","73.190968","93.641854","96.357367","95.471491","75.250125","77.673533","87.751038","0.0117686764696264","10.1890054206161","0.0509058323363985","5.95555555555556"
"X627.649242","64.800592","81.10828","73.374523","93.656866","96.360495","95.475417","75.250072","77.677331","87.759641","0.0118690231929564","10.151731337608","0.0509058323363985","5.95555555555556"
"X629.08551","64.980456","81.189929","73.532558","93.679998","96.367449","95.477909","75.263938","77.698915","87.771421","0.0119353190977112","10.1273352494469","0.0509058323363985","5.95555555555556"
"X630.521778","65.104103","81.239589","73.653416","93.702766","96.374608","95.479707","75.260259","77.706459","87.780348","0.0119819109206069","10.1102978733339","0.0509058323363985","5.95555555555556"
"X631.958047","65.219192","81.28272","73.757065","93.724997","96.380233","95.48244","75.268774","77.731063","87.788299","0.0119877284815574","10.108176751495","0.0509058323363985","5.95555555555556"
"X633.394315","65.301818","81.326997","73.841298","93.742948","96.389976","95.487945","75.269841","77.742839","87.801015","0.0120492272600655","10.0858374971366","0.0509058323363985","5.95555555555556"
"X634.830583","65.367403","81.359287","73.908756","93.759175","96.398201","95.493002","75.283075","77.769507","87.816434","0.0120782371068954","10.0753524550432","0.0509058323363985","5.95555555555556"
"X636.266851","65.386265","81.360912","73.930968","93.779036","96.409101","95.497995","75.284103","77.783252","87.833261","0.0120668419925183","10.0794669881054","0.0509058323363985","5.95555555555556"
"X637.70312","65.39588","81.352557","73.92418","93.788782","96.414767","95.504788","75.297283","77.812516","87.847799","0.0120079980056319","10.1007970549737","0.0509058323363985","5.95555555555556"
